time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
69,1007,69632,34,1412.2291666666667,535.7816772460938,0.8057507,0.2,-1.3667763214558364,0.00025,-0.005188378480670508,110.87699232697487,0.007745075,45.31391906738281,0.035888671875,330,,
70,1012,71680,35,1406.78,546.9700927734375,0.62939405,0.2,-1.3634299393743277,0.00025,-0.0069740105434902945,295.1042190551758,0.0098024085,142.711181640625,0.056298828125,340,,
72,1017,73728,36,1438.0196078431372,581.5193481445312,0.25675452,0.2,-1.3729068510234357,0.00025,-0.0008744195183680858,520.6574109077453,0.0015158348,178.54286193847656,0.0,350,,
,,75000,,,,0.587912,0.2,-1.3707048356533051,0.00025,-0.004454884503502399,460.6234744548798,0.006040645,192.95652770996094,0.008935546875,360,432.48480224609375,2550.1
79,950,75776,37,1424.6923076923076,587.584228515625,,,,,,,,,,,,
81,955,77824,38,1440.3207547169811,592.6071166992188,0.7679692,0.2,-1.3749914694577456,0.00025,-0.004015826366958209,104.63649449348449,0.01056852,12.520893096923828,0.00400390625,370,,
83,960,79872,39,1469.2037037037037,584.5807495117188,0.8493213,0.2,-1.3666226726025343,0.00025,-0.0020630503946449607,445.93352031707764,0.0035598006,53.237545013427734,0.0,380,,
84,964,81920,40,1480.6181818181817,623.0988159179688,0.8965487,0.2,-1.359335022047162,0.00025,-0.0010958907107124106,305.3637531518936,0.0016170333,77.39910125732422,0.0,390,,
86,968,83968,41,1474.0892857142858,646.4946899414062,0.7079972,0.2,-1.3502552561461925,0.00025,-0.0020533714778139256,476.3587010383606,0.0012281197,130.58213806152344,0.0,400,,
88,972,86016,42,1481.051724137931,642.87646484375,0.73824126,0.2,-1.345999326556921,0.00025,-0.003192905288597103,437.1586634159088,0.0045322366,114.8899154663086,0.005712890625,410,,
90,977,88064,43,1481.051724137931,642.87646484375,0.85941863,0.2,-1.345948240533471,0.00025,-0.0019140271135256626,284.12733216285704,0.0037457375,138.41989135742188,0.01630859375,420,,
91,983,90112,44,1506.7966101694915,640.6563110351562,0.6786904,0.2,-1.3588586881756783,0.00025,-0.004245000507944496,440.5041051387787,0.011645339,79.65936279296875,0.007666015625,430,,
93,987,92160,45,1531.6833333333334,689.6783447265625,0.589017,0.2,-1.351950978860259,0.00025,-0.0035235811410530005,144.8852163016796,0.007086359,18.23356819152832,0.008544921875,440,,
94,992,94208,46,1538.5081967213114,705.72998046875,0.77450114,0.2,-1.3501039780676365,0.00025,-0.001028715627035126,845.865071964264,0.00058257324,275.90679931640625,0.0,450,,
96,996,96256,47,1528.274193548387,709.3104248046875,0.83088374,0.2,-1.3541925132274628,0.00025,-0.005036005486908834,564.8321650505065,0.006941722,240.2635040283203,0.01591796875,460,,
