#{"t_start": 1761279856.0332873, "env_id": "None"}
r,l,t,result,match_ratio,page
107.63,37.0,1726.23133,partial,0.9333333333333332,done
22.69,31.0,1729.440985,incomplete,0.0,index.html
94.93,57.0,1737.011146,partial,0.9333333333333332,done
109.61,39.0,1742.35105,partial,0.9333333333333332,done
45.26,74.0,1749.506549,incomplete,0.0,questions.html
108.48,52.0,1754.96941,partial,0.9333333333333332,done
37.16,84.0,1761.958621,incomplete,0.0,questions.html
88.18,32.0,1766.746239,partial,0.8666666666666667,done
86.82,68.0,1772.933239,partial,0.9333333333333332,done
12.69,31.0,1776.278738,incomplete,0.0,index.html
50.68,82.0,1782.875268,incomplete,0.0,questions.html
101.88,62.0,1790.150685,partial,0.9333333333333332,done
95.87,63.0,1796.374971,partial,0.9333333333333332,done
80.52,48.0,1802.210515,partial,0.8666666666666667,done
106.88,62.0,1808.150029,partial,0.9333333333333332,done
94.47,53.0,1814.509479,partial,0.9333333333333332,done
92.56,44.0,1821.032726,partial,0.9333333333333332,done
90.66,34.0,1826.308462,partial,0.8666666666666667,done
106.62,38.0,1830.456097,partial,0.9333333333333332,done
80.54,46.0,1835.246561,partial,0.8666666666666667,done
101.45,55.0,1841.382076,partial,0.9333333333333332,done
72.92,58.0,1848.901457,partial,0.8666666666666667,done
81.11,39.0,1853.669797,partial,0.8,done
94.94,56.0,1860.615581,partial,0.9333333333333332,done
103.38,62.0,1866.325047,partial,0.9333333333333332,done
103.06,44.0,1871.554863,partial,0.9333333333333332,done
92.9,60.0,1878.966315,partial,0.9333333333333332,done
95.99,51.0,1885.807172,partial,0.9333333333333332,done
29.83,67.0,1890.156235,incomplete,0.0,experience.html
100.08,42.0,1895.140715,partial,0.9333333333333332,done
112.35,65.0,1901.393681,partial,0.9333333333333332,done
103.55,45.0,1907.2848,partial,0.9333333333333332,done
81.5,50.0,1913.123688,partial,0.8666666666666667,done
103.51,49.0,1918.749934,partial,0.9333333333333332,done
89.43,57.0,1923.89168,partial,0.9333333333333332,done
84.56,44.0,1929.147407,partial,0.8666666666666667,done
95.46,54.0,1935.208289,partial,0.9333333333333332,done
84.09,41.0,1940.337019,partial,0.8666666666666667,done
103.93,57.0,1948.869618,partial,0.9333333333333332,done
103.45,55.0,1954.66928,partial,0.9333333333333332,done
100.87,63.0,1961.564353,partial,0.9333333333333332,done
93.03,47.0,1968.833631,partial,0.9333333333333332,done
112.16,34.0,1974.682308,partial,0.9333333333333332,done
68.46,54.0,1979.768596,partial,0.7333333333333333,done
109.04,46.0,1984.569776,partial,0.9333333333333332,done
76.52,48.0,1989.543658,partial,0.8,done
78.32,68.0,1997.660674,partial,0.9333333333333332,done
98.89,61.0,2003.99024,partial,0.9333333333333332,done
102.43,57.0,2009.628063,partial,0.9333333333333332,done
85.4,60.0,2017.627644,partial,0.9333333333333332,done
85.53,47.0,2022.916048,partial,0.8,done
71.34,66.0,2031.995887,partial,0.9333333333333332,done
53.33,67.0,2037.735461,incomplete,0.0,questions.html
60.78,72.0,2044.110763,incomplete,0.0,questions.html
58.32,68.0,2049.264087,incomplete,0.0,questions.html
100.15,35.0,2055.326918,partial,0.9333333333333332,done
76.57,43.0,2061.964152,partial,0.8666666666666667,done
79.66,84.0,2070.54865,partial,0.9333333333333332,done
82.34,66.0,2076.252299,partial,0.8666666666666667,done
85.13,37.0,2081.302845,partial,0.8666666666666667,done
80.51,49.0,2086.535057,partial,0.8666666666666667,done
92.9,60.0,2093.268741,partial,0.7333333333333333,done
85.56,44.0,2098.749242,partial,0.8,done
93.08,42.0,2104.165326,partial,0.8,done
87.57,43.0,2109.080118,partial,0.8666666666666667,done
108.67,33.0,2113.314235,partial,0.9333333333333332,done
74.5,50.0,2118.489068,partial,0.7333333333333333,done
36.32,68.0,2124.209678,incomplete,0.0,questions.html
72.43,57.0,2130.288743,partial,0.7333333333333333,done
78.51,49.0,2135.583543,partial,0.8666666666666667,done
82.03,47.0,2141.138601,partial,0.8666666666666667,done
86.65,35.0,2145.683286,partial,0.7333333333333333,done
24.69,31.0,2149.314937,incomplete,0.0,index.html
97.93,57.0,2155.216664,partial,0.9333333333333332,done
118.07,43.0,2162.079303,partial,0.9333333333333332,done
88.35,65.0,2167.415092,partial,0.9333333333333332,done
105.56,44.0,2173.488124,partial,0.9333333333333332,done
80.41,59.0,2179.581627,partial,0.8666666666666667,done
93.36,64.0,2185.714011,partial,0.9333333333333332,done
90.33,67.0,2192.11104,partial,0.9333333333333332,done
90.07,43.0,2197.221588,partial,0.8,done
83.11,39.0,2202.196229,partial,0.8,done
110.43,57.0,2208.940506,partial,0.9333333333333332,done
112.11,39.0,2213.987885,partial,0.9333333333333332,done
74.56,44.0,2218.236732,partial,0.7333333333333333,done
79.47,53.0,2223.481054,partial,0.8666666666666667,done
88.03,47.0,2228.926512,partial,0.8666666666666667,done
72.81,69.0,2235.930969,partial,0.8666666666666667,done
77.51,99.0,2244.75968,partial,0.9333333333333332,done
81.9,60.0,2251.887671,partial,0.8666666666666667,done
96.11,39.0,2257.378555,partial,0.8,done
110.49,51.0,2263.375497,partial,0.9333333333333332,done
69.97,53.0,2271.083146,partial,0.8666666666666667,done
89.93,57.0,2276.429477,partial,0.8,done
84.58,42.0,2281.52865,partial,0.8666666666666667,done
82.17,33.0,2285.847426,partial,0.7333333333333333,done
114.56,44.0,2291.277369,partial,0.9333333333333332,done
100.6,40.0,2296.878685,partial,0.9333333333333332,done
117.91,59.0,2303.22298,partial,0.9333333333333332,done
125.52,48.0,2309.462592,partial,0.9333333333333332,done
99.51,49.0,2315.561064,partial,0.8,done
93.29,71.0,2323.367421,partial,0.8666666666666667,done
99.78,72.0,2329.99763,partial,0.9333333333333332,done
30.69,31.0,2333.123733,incomplete,0.0,index.html
100.04,46.0,2338.066299,partial,0.9333333333333332,done
30.69,31.0,2341.495172,incomplete,0.0,index.html
82.95,55.0,2347.466679,partial,0.8666666666666667,done
83.06,44.0,2352.868645,partial,0.7333333333333333,done
97.34,66.0,2359.274009,partial,0.8666666666666667,done
116.52,48.0,2364.692884,partial,0.9333333333333332,done
97.17,33.0,2369.391155,partial,0.7333333333333333,done
109.57,43.0,2375.603527,partial,0.9333333333333332,done
93.37,63.0,2384.038271,partial,0.9333333333333332,done
110.93,57.0,2390.610615,partial,0.9333333333333332,done
71.45,55.0,2396.372505,partial,0.8,done
120.96,54.0,2402.947498,partial,0.9333333333333332,done
24.69,31.0,2406.451397,incomplete,0.0,index.html
111.0,50.0,2412.170498,partial,0.9333333333333332,done
122.96,54.0,2419.204664,partial,0.9333333333333332,done
28.69,31.0,2422.69727,incomplete,0.0,index.html
114.31,69.0,2429.72348,partial,0.9333333333333332,done
87.64,36.0,2435.327204,partial,0.8,done
120.89,61.0,2443.190658,partial,0.9333333333333332,done
70.69,31.0,2447.117437,incomplete,0.0,experience.html
96.41,59.0,2452.760266,partial,0.9333333333333332,done
104.4,60.0,2458.755942,partial,0.9333333333333332,done
117.24,76.0,2467.069909,partial,0.9333333333333332,done
90.26,24.0,2471.173407,partial,0.7333333333333333,done
120.96,54.0,2478.100664,partial,0.9333333333333332,done
99.04,46.0,2484.448452,partial,0.8666666666666667,done
75.93,57.0,2490.392533,partial,0.8666666666666667,done
109.03,47.0,2497.088646,partial,0.9333333333333332,done
30.69,31.0,2501.368862,incomplete,0.0,index.html
112.86,64.0,2508.705747,partial,0.9333333333333332,done
100.0,50.0,2514.929149,partial,0.8,done
108.62,38.0,2519.656779,partial,0.9333333333333332,done
90.19,31.0,2524.622232,partial,0.8,done
105.77,73.0,2533.067681,partial,0.9333333333333332,done
30.69,31.0,2536.831608,incomplete,0.0,index.html
116.3,70.0,2544.45703,partial,0.9333333333333332,done
107.23,77.0,2551.179403,partial,0.9333333333333332,done
99.83,67.0,2558.885901,partial,0.8,done
76.08,42.0,2563.875266,partial,0.8666666666666667,done
102.1,40.0,2569.431635,partial,0.8,done
109.63,37.0,2574.275575,partial,0.9333333333333332,done
109.76,74.0,2582.653144,partial,0.9333333333333332,done
99.97,53.0,2588.375618,partial,0.9333333333333332,done
107.06,44.0,2593.864744,partial,0.9333333333333332,done
93.02,48.0,2599.700583,partial,0.7333333333333333,done
100.02,48.0,2604.509474,partial,0.9333333333333332,done
28.69,31.0,2607.798172,incomplete,0.0,index.html
98.35,65.0,2613.891611,partial,0.9333333333333332,done
91.36,64.0,2621.805516,partial,0.8666666666666667,done
97.4,60.0,2627.253145,partial,0.9333333333333332,done
42.22,78.0,2632.260784,incomplete,0.0,questions.html
95.13,87.0,2638.905434,partial,0.9333333333333332,done
26.69,31.0,2641.984974,incomplete,0.0,index.html
86.5,50.0,2647.884662,partial,0.8666666666666667,done
110.73,77.0,2654.975947,partial,0.9333333333333332,done
80.47,53.0,2660.521552,partial,0.8666666666666667,done
30.69,31.0,2664.294357,incomplete,0.0,index.html
103.96,54.0,2671.342813,partial,0.9333333333333332,done
26.69,31.0,2675.175796,incomplete,0.0,index.html
40.78,72.0,2681.599595,incomplete,0.0,questions.html
91.01,49.0,2687.238023,partial,0.8,done
74.45,55.0,2692.319875,partial,0.8,done
117.44,56.0,2699.570949,partial,0.9333333333333332,done
70.62,88.0,2708.824525,partial,0.9333333333333332,done
97.05,45.0,2714.418257,partial,0.8666666666666667,done
70.69,31.0,2718.038176,incomplete,0.0,experience.html
108.31,69.0,2724.577637,partial,0.9333333333333332,done
114.3,70.0,2732.149347,partial,0.9333333333333332,done
30.69,31.0,2735.721427,incomplete,0.0,index.html
97.04,46.0,2741.366355,partial,0.7333333333333333,done
121.52,48.0,2747.249531,partial,0.9333333333333332,done
101.89,61.0,2754.88223,partial,0.9333333333333332,done
41.69,81.0,2762.008886,incomplete,0.0,questions.html
111.77,73.0,2769.489776,partial,0.9333333333333332,done
105.97,53.0,2776.916808,partial,0.9333333333333332,done
91.9,60.0,2783.105258,partial,0.8666666666666667,done
378.58,42.0,2789.1656900000003,partial,0.8666666666666667,done
238.9,60.0,2795.633308,partial,0.7333333333333333,done
387.03,47.0,2802.304194,partial,0.8666666666666667,done
372.37,63.0,2808.360645,partial,0.8666666666666667,done
385.57,43.0,2813.540088,partial,0.8,done
234.68,32.0,2818.326708,partial,0.7333333333333333,done
424.98,52.0,2824.352338,partial,0.9333333333333332,done
30.69,31.0,2828.096866,incomplete,0.0,index.html
394.34,66.0,2835.998335,partial,0.9333333333333332,done
416.05,45.0,2841.970918,partial,0.9333333333333332,done
385.42,58.0,2848.819116,partial,0.8666666666666667,done
384.25,75.0,2855.917556,partial,0.8666666666666667,done
408.42,58.0,2861.968323,partial,0.9333333333333332,done
396.58,42.0,2867.713337,partial,0.8,done
28.69,31.0,2871.0709500000003,incomplete,0.0,index.html
401.09,41.0,2876.970918,partial,0.8666666666666667,done
410.48,52.0,2882.612806,partial,0.9333333333333332,done
414.04,46.0,2888.838393,partial,0.9333333333333332,done
376.92,58.0,2896.222419,partial,0.8666666666666667,done
393.91,59.0,2903.73655,partial,0.9333333333333332,done
380.91,59.0,2910.597077,partial,0.8,done
413.94,56.0,2917.091322,partial,0.9333333333333332,done
405.57,43.0,2923.209465,partial,0.9333333333333332,done
26.69,31.0,2927.380003,incomplete,0.0,index.html
394.8,70.0,2935.446466,partial,0.9333333333333332,done
414.5,50.0,2941.979301,partial,0.9333333333333332,done
389.15,35.0,2947.261895,partial,0.8666666666666667,done
68.69,31.0,2951.0770700000003,incomplete,0.0,experience.html
388.61,39.0,2957.561673,partial,0.8666666666666667,done
400.56,44.0,2963.688342,partial,0.8,done
413.08,42.0,2969.862558,partial,0.9333333333333332,done
400.0,50.0,2976.2097790000003,partial,0.8666666666666667,done
407.5,50.0,2982.793854,partial,0.8666666666666667,done
432.94,56.0,2989.9783,partial,0.9333333333333332,done
391.05,45.0,2995.650129,partial,0.8666666666666667,done
409.04,46.0,3001.418093,partial,0.9333333333333332,done
394.9,60.0,3007.368982,partial,0.9333333333333332,done
251.09,41.0,3012.458303,partial,0.7333333333333333,done
414.45,55.0,3019.716549,partial,0.9333333333333332,done
388.04,46.0,3025.536527,partial,0.8666666666666667,done
384.15,35.0,3029.914094,partial,0.8666666666666667,done
