#{"t_start": 1761279856.0332873, "env_id": "None"}
r,l,t,result,match_ratio,page
81.55,45,1029.211657,partial,0.8,done
20.69,31,1032.397645,incomplete,0.0,index.html
72.43,57,1036.921055,partial,0.8,done
84.6,40,1042.204424,partial,0.8,done
86.83,67,1048.365801,partial,0.9333333333333333,done
82.79,71,1054.532103,incomplete,0.0,review.html
119.4,60,1061.709575,partial,0.9333333333333333,done
69.43,57,1066.280167,incomplete,0.0,review.html
87.22,78,1072.432142,partial,0.9333333333333333,done
85.66,34,1077.310148,partial,0.8,done
94.02,48,1082.746579,partial,0.8666666666666667,done
54.29,71,1088.877984,incomplete,0.0,questions.html
106.93,57,1095.637995,partial,0.9333333333333333,done
33.17,83,1102.930561,incomplete,0.0,questions.html
22.69,31,1106.238513,incomplete,0.0,index.html
87.44,56,1112.085167,partial,0.8666666666666667,done
92.5,50,1117.503508,partial,0.8,done
78.89,61,1121.797502,incomplete,0.0,review.html
112.63,37,1126.960971,partial,0.9333333333333333,done
82.62,38,1131.750871,partial,0.8666666666666667,done
85.39,61,1138.129004,partial,0.9333333333333333,done
80.23,77,1145.073873,partial,0.8666666666666667,done
69.01,49,1150.533156,partial,0.8,done
56.21,79,1157.128032,incomplete,0.0,questions.html
75.73,77,1164.581393,partial,0.8666666666666667,done
87.01,49,1169.321661,partial,0.7333333333333333,done
91.34,66,1175.617904,partial,0.9333333333333333,done
80.88,62,1181.933611,partial,0.8,done
79.85,65,1188.533727,partial,0.8666666666666667,done
105.95,55,1193.350344,incomplete,0.0,review.html
97.51,49,1199.411429,partial,0.8666666666666667,done
87.64,36,1203.903397,partial,0.8,done
94.38,62,1209.710116,partial,0.9333333333333333,done
31.78,72,1216.124808,incomplete,0.0,questions.html
77.52,48,1221.858057,partial,0.8,done
31.93,57,1226.415416,incomplete,0.0,questions.html
8.69,31,1230.010236,incomplete,0.0,index.html
88.49,51,1235.118334,partial,0.8666666666666667,done
103.35,65,1242.273639,partial,0.8666666666666667,done
47.93,107,1250.117185,incomplete,0.0,questions.html
36.36,64,1255.115069,incomplete,0.0,questions.html
93.71,29,1259.47931,partial,0.7333333333333333,done
78.33,67,1266.022684,partial,0.8,done
74.03,47,1271.710667,partial,0.7333333333333333,done
103.07,43,1275.955929,incomplete,0.0,review.html
88.81,69,1283.032811,partial,0.9333333333333333,done
75.12,38,1287.341023,partial,0.8,done
81.61,39,1291.669787,partial,0.8666666666666667,done
71.82,68,1297.787125,partial,0.8,done
94.78,72,1303.178082,incomplete,0.0,review.html
88.4,60,1309.176565,partial,0.8,done
103.48,52,1314.637215,partial,0.9333333333333333,done
91.62,38,1319.663142,partial,0.8666666666666667,done
74.86,64,1325.901961,partial,0.8666666666666667,done
85.35,65,1334.120601,partial,0.9333333333333333,done
93.94,56,1340.369095,partial,0.9333333333333333,done
77.49,51,1346.16442,partial,0.8666666666666667,done
10.69,31,1349.745459,incomplete,0.0,index.html
86.61,89,1359.373329,partial,0.9333333333333333,done
79.98,52,1365.469705,partial,0.8,done
100.71,79,1372.059397,incomplete,0.0,review.html
82.54,96,1379.639853,partial,0.9333333333333333,done
97.33,67,1385.257145,partial,0.9333333333333333,done
90.26,74,1391.7185,partial,0.9333333333333333,done
96.83,67,1397.942423,partial,0.9333333333333333,done
39.02,98,1404.001336,incomplete,0.0,questions.html
104.51,49,1409.413445,partial,0.9333333333333333,done
80.84,66,1415.049428,partial,0.8666666666666667,done
