time/iterations,time/time_elapsed,train/entropy_loss,train/explained_variance,train/n_updates,time/fps,train/policy_loss,time/total_timesteps,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
4700,20,-1.2986531257629395,0.08045977,4699,1123,-0.23698005080223083,23500,0.02022957056760788,0.00025,1405.5,620.5419921875,,
4800,21,-1.3232395648956299,0.064100266,4799,1124,-0.11795689910650253,24000,0.008341060020029545,0.00025,1388.764705882353,583.7723999023438,,
4900,21,-1.3109105825424194,-12.364369,4899,1123,0.02402133122086525,24500,0.004477824084460735,0.00025,1388.764705882353,583.7723999023438,,
,,-1.3248897790908813,-0.068485856,4999,,0.023852234706282616,25000,0.0004865754453931004,0.00025,,,2804.2,173.97726440429688
5000,28,,,,873,,25000,,,1364.388888888889,556.23583984375,,
5100,29,-1.315727710723877,-0.96167874,5099,876,-0.043841369450092316,25500,0.010229786857962608,0.00025,1364.388888888889,556.23583984375,,
5200,29,-1.3322690725326538,-809.2312,5199,881,0.01804962009191513,26000,0.0002550894860178232,0.00025,1364.388888888889,556.23583984375,,
5300,29,-1.3356502056121826,-2.5483782,5299,885,-0.014423267915844917,26500,0.004327264614403248,0.00025,1364.388888888889,556.23583984375,,
5400,30,-1.3301631212234497,0.6861476,5399,889,-0.00047666486352682114,27000,0.0005596202099695802,0.00025,1364.388888888889,556.23583984375,,
5500,30,-1.3266688585281372,0.49005854,5499,892,-0.042447734624147415,27500,0.0025155837647616863,0.00025,1364.388888888889,556.23583984375,,
5600,31,-1.3403626680374146,-0.8669424,5599,895,-0.21789297461509705,28000,0.02246796153485775,0.00025,1450.4736842105262,571.462158203125,,
5700,31,-1.3402674198150635,0.3137805,5699,898,-0.04699203372001648,28500,0.0031265593133866787,0.00025,1450.4736842105262,571.462158203125,,
5800,32,-1.309255599975586,-9.425934,5799,901,0.04971001669764519,29000,0.0019820353481918573,0.00025,1428.25,546.755126953125,,
5900,32,-1.3211866617202759,0.56775475,5899,904,0.05669500678777695,29500,0.002546783536672592,0.00025,1428.25,546.755126953125,,
6000,33,-1.3221173286437988,0.059313297,5999,908,6.697837829589844,30000,42.79460906982422,0.00025,1428.25,546.755126953125,,
6100,33,-1.3096485137939453,-23.37643,6099,910,1.9171260595321655,30500,5.766359806060791,0.00025,1428.25,546.755126953125,,
6200,33,-1.3215792179107666,-0.051079392,6199,912,-0.15773527324199677,31000,0.02258162759244442,0.00025,1469.3333333333333,598.4544067382812,,
6300,34,-1.3006362915039062,0.08405256,6299,915,10.180362701416016,31500,105.60968017578125,0.00025,1469.3333333333333,598.4544067382812,,
6400,34,-1.3031924962997437,-27.479555,6399,918,0.2461944818496704,32000,0.058643244206905365,0.00025,1445.7272727272727,594.413330078125,,
6500,35,-1.3365333080291748,-0.47285938,6499,920,-0.10769088566303253,32500,0.0077417874708771706,0.00025,1445.7272727272727,594.413330078125,,
6600,35,-1.3385086059570312,0.6604895,6599,923,-0.04279046505689621,33000,0.004938545636832714,0.00025,1445.7272727272727,594.413330078125,,
6700,36,-1.3101418018341064,-0.7397046,6699,925,-0.05542071536183357,33500,0.00330178695730865,0.00025,1445.7272727272727,594.413330078125,,
6800,36,-1.3089070320129395,-271.9652,6799,927,0.052907176315784454,34000,0.0023043544497340918,0.00025,1445.7272727272727,594.413330078125,,
6900,37,-1.3083070516586304,-0.5327898,6899,930,0.0683315172791481,34500,0.004372995346784592,0.00025,1445.7272727272727,594.413330078125,,
7000,37,-1.2936327457427979,-9.571463,6999,933,0.04499388858675957,35000,0.0019891378469765186,0.00025,1513.304347826087,581.3350219726562,,
7100,37,-1.2828584909439087,-49.113247,7099,935,-0.23236513137817383,35500,0.04633864760398865,0.00025,1513.304347826087,581.3350219726562,,
7200,38,-1.3348537683486938,-330.03775,7199,937,-0.35605940222740173,36000,0.19147780537605286,0.00025,1513.304347826087,581.3350219726562,,
7300,38,-1.3096551895141602,-21.602213,7299,939,-0.2918151021003723,36500,0.06734766066074371,0.00025,1513.304347826087,581.3350219726562,,
7400,39,-1.325828194618225,-3.0838132,7399,942,0.10700429975986481,37000,0.008462922647595406,0.00025,1513.304347826087,581.3350219726562,,
7500,39,-1.3294662237167358,0.16529053,7499,944,-0.04221171513199806,37500,0.001635334687307477,0.00025,1513.304347826087,581.3350219726562,,
7600,40,-1.3392608165740967,0.4832558,7599,947,-0.0910281091928482,38000,0.004757226444780827,0.00025,1575.25,604.1978149414062,,
7700,40,-1.3338196277618408,0.60743463,7699,949,0.110185407102108,38500,0.008597085252404213,0.00025,1575.25,604.1978149414062,,
7800,40,-1.2996044158935547,-30.371439,7799,951,-0.031579628586769104,39000,0.010154561139643192,0.00025,1575.25,604.1978149414062,,
7900,41,-1.3084313869476318,0.8355315,7899,953,0.054080843925476074,39500,0.0022366337943822145,0.00025,1575.25,604.1978149414062,,
8000,41,-1.2552591562271118,0.33190084,7999,955,-0.2702680230140686,40000,0.02519257739186287,0.00025,1575.25,604.1978149414062,,
8100,42,-1.2874419689178467,-70.68301,8099,957,5.4784016609191895,40500,28.635229110717773,0.00025,1575.25,604.1978149414062,,
8200,42,-1.3295903205871582,-422.13254,8199,959,0.01015406847000122,41000,0.15048693120479584,0.00025,1632.24,620.660400390625,,
8300,43,-1.3013719320297241,-0.0946964,8299,961,-0.07680622488260269,41500,0.003314455971121788,0.00025,1632.24,620.660400390625,,
8400,43,-1.3401694297790527,0.36202055,8399,963,0.06132693216204643,42000,0.0024867509491741657,0.00025,1597.5384615384614,601.2926025390625,,
8500,44,-1.3206897974014282,-59.296715,8499,964,0.9298892021179199,42500,0.5913957357406616,0.00025,1573.7037037037037,596.5357055664062,,
8600,44,-1.3446071147918701,0.49720824,8599,966,-0.046440500766038895,43000,0.002800655085593462,0.00025,1573.7037037037037,596.5357055664062,,
8700,44,-1.3035132884979248,0.0874241,8699,967,0.11112228780984879,43500,0.009616286493837833,0.00025,1573.7037037037037,596.5357055664062,,
8800,45,-1.2949820756912231,0.11580044,8799,969,18.69415283203125,44000,322.76483154296875,0.00025,1573.7037037037037,596.5357055664062,,
8900,45,-1.2893534898757935,0.5127211,8899,970,0.4242250323295593,44500,0.22762128710746765,0.00025,1586.9642857142858,624.0081787109375,,
9000,46,-1.3288806676864624,0.57152665,8999,972,-0.013094767928123474,45000,0.001545198610983789,0.00025,1586.9642857142858,624.0081787109375,,
9100,46,-1.3165065050125122,-1.515238,9099,973,-0.06986057758331299,45500,0.004016104154288769,0.00025,1586.9642857142858,624.0081787109375,,
9200,47,-1.3302655220031738,-12.07678,9199,974,-0.07827755063772202,46000,0.0046461778692901134,0.00025,1586.9642857142858,624.0081787109375,,
9300,47,-1.2976175546646118,-1.1991055,9299,975,0.12242408841848373,46500,0.011176282539963722,0.00025,1586.9642857142858,624.0081787109375,,
9400,48,-1.3062931299209595,0.6774328,9399,977,-0.01356525532901287,47000,0.0016367677599191666,0.00025,1616.7931034482758,623.385986328125,,
9500,48,-1.3552706241607666,-77.89714,9499,977,-0.17483468353748322,47500,0.030510354787111282,0.00025,1616.7931034482758,623.385986328125,,
9600,49,-1.3075052499771118,0.29674214,9599,978,-1.2400695085525513,48000,0.6978620886802673,0.00025,1588.6333333333334,630.5309448242188,,
9700,49,-1.2831752300262451,-7.446122,9699,979,0.09609862416982651,48500,0.008576308377087116,0.00025,1588.6333333333334,630.5309448242188,,
9800,49,-1.3115086555480957,-2.5176125,9799,981,0.19276776909828186,49000,0.02870595082640648,0.00025,1573.9032258064517,637.0289916992188,,
9900,50,-1.3207776546478271,-12.707561,9899,982,0.008275655098259449,49500,0.0001716218830551952,0.00025,1573.9032258064517,637.0289916992188,,
,,-1.3010005950927734,-110.55795,9999,,0.11110325902700424,50000,0.01256879698485136,0.00025,,,145.9,18.537708282470703
10000,51,,,,976,,50000,,,1513.1818181818182,614.2125244140625,,
